Autore Test,Filtro,Funzioni di Attivazione,Tipo di Learning,Aggiornamento Pesi,Archittetura,Epoca in cui si è fermato,Accuracy,Loss Sul Training,Loss Sul Validation,Link Foto,Patience,Learning Rate,N°Epoche,Seed,Loss Function,padding,stride_cov,stride_pool,kernel_size_pool
Domenico,3x3,ReLU,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2)",11,"98,7","0,005356","0,06774",https://drive.google.com/file/d/1GNbZDSQpPl1g5lQlDWFeUCIbVXrAWYn7/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Domenico,3x3,LReLU,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2)",11,"98,8","0,006715","0,090363",https://drive.google.com/file/d/1Hyafkeg167ZymCgPXej1HNvsyOqoyX2k/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Domenico,3x3,Sig,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2)",14,"98,1","0,051024","0,067166",https://drive.google.com/file/d/1vaMt2LLM1SWTrmC9sn9B4ZmpkoXF2x1_/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Domenico,3x3,LReLU,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),MaxPool(2x2)",13,"99,1","0,00938","0,039955",https://drive.google.com/file/d/1X5KSM25Ki7q6JZpoIYuayaCSCKZX_BiO/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Domenico,3x3,Sig,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),MaxPool(2x2)",6,"11,3","2,306934","2,301782",https://drive.google.com/file/d/1mWf_cG7412mJGErNKi4X7f8-5-Gx0iHB/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Domenico,3x3,ReLU,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),MaxPool(2x2)",11,99,"0,013882","0,042292",https://drive.google.com/file/d/1FeF12Y05pOYprvOZxr-ewNaXvO5yrxvK/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Domenico,3x3,Sig,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),Conv(128,256),MaxPool(2x2)",8,"11,3","2,301085","2,301705",https://drive.google.com/file/d/1y8rDa7b2JCcJDhHn0uhN-0GWQAFlrbWQ/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Domenico,3x3,ReLU,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),Conv(128,256),MaxPool(2x2)",9,"99,1","0,021372","0,036762",https://drive.google.com/file/d/1r2l8tn559e4EUazUKoZCDKRzw8rey77V/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Domenico,3x3,LReLU,Mini-Batch,Adam,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),Conv(128,256),MaxPool(2x2)",8,"99,1","0,028698","0,03712",https://drive.google.com/file/d/1ejQTcO2-Z3e4Vc33yKSLNZkObUocy_3G/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Domenico,3x3,ReLU,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2)",50,"98,2","0,036166","0,067452",https://drive.google.com/file/d/1LnsvWdSSTXgZwzhj9MOrBSgQTrnzecpI/view?usp=drive_link,5,"0,001",50,16,CE,1,1,2,"2x2,"
Domenico,3x3,LReLU,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2)",,,,,,5,"0,001",50,16,CE,1,1,2,"2x2,"
Domenico,3x3,Sig,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2)",,,,,,5,"0,001",50,16,CE,1,1,2,"2x2,"
Domenico,3x3,LReLU,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),MaxPool(2x2)",,,,,,5,"0,001",50,16,CE,1,1,2,"2x2,"
Domenico,3x3,Sig,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),MaxPool(2x2)",,,,,,5,"0,001",50,16,CE,1,1,2,"2x2,"
Domenico,3x3,ReLU,Batch,Rprop,"Conv(1,32),Conv(32,64),MaxPool(2x2),Conv(64,128),MaxPool(2x2)",,,,,,5,"0,001",50,16,CE,1,1,2,"2x2,"
