Autore Test,Implementazione,Funzioni di Attivazione,Tipo di Learning,Aggiornamento Pesi,Archittetura,Epoca in cui si è fermato,Accuracy,Loss Sul Training,Loss Sul Validation,Link Foto,Patience,Learning Rate,N°Epoche,Seed,Loss Function,Funzione di Attivazione di Output
Giuliano,FCNN,ReLU,Batch,Rprop,"784,128,64,10,",50,"95,2","0,114169","0,202685",https://drive.google.com/file/d/1IMlbuMpQ8frgjQNju3x6GuhRhTNM17Z_/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Giuliano,FCNN,LReLU,Batch,Rprop,"784,256,128,64,10,",50,95,"0,125438","0,20462",https://drive.google.com/file/d/1da0l1O8oj07CH8dZmqML_EzXTXlq_md9/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Giuliano,FCNN,Sig,Batch,Rprop,"784,512,256,128,64,10,",50,"93,7","0,167292","0,210652",https://drive.google.com/file/d/1ad-5QNfHRlSbeD1QBXQzSz4dSlXr0gf4/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Giuliano,FCNN,LReLU,Batch,Rprop,"784,128,64,10,",50,"94,8","0,132802","0,198509",https://drive.google.com/file/d/1AVQJsbY8tX1DHTQXlEUH62V48C-AZMug/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Giuliano,FCNN,Sig,Batch,Rprop,"784,256,128,64,10,",50,"95,1","0,106519","0,165652",https://drive.google.com/file/d/1Q9gpp2flOYG7wM4uBovJ_KXJObQnaBRQ/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Giuliano,FCNN,ReLU,Batch,Rprop,"784,512,256,128,64,10,",50,"95,9","0,089033","0,182712",https://drive.google.com/file/d/1g9fDNtcqMUhqw5ZMr0D6v46d9l3mYPmM/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Giuliano,FCNN,Sig,Batch,Rprop,"784,128,64,10,",50,"95,7","0,082218","0,160496",https://drive.google.com/file/d/15bLwhAi-RNBlQKJEvEczgVeXnC52iB6s/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Giuliano,FCNN,ReLU,Batch,Rprop,"784,256,128,64,10,",50,"94,9","0,130945","0,208718",https://drive.google.com/file/d/1jMKxV_i_L4SoAUoJXRsdEXuPw7NjxEzV/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Giuliano,FCNN,LReLU,Batch,Rprop,"784,512,256,128,64,10,",50,95,"0,115374","0,203859",https://drive.google.com/file/d/1WdFiR4pYK4lZrw0rjkRKtgxdh5VCCxXL/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
Domenico,FCNN,ReLU,Mini-Batch,Adam,"784,128,64,10,",10,"97,5","0,053891","0,100349",https://drive.google.com/file/d/1659N5LHAqgz7ySEluqm2UJ394w_elHkX/view?usp=drive_link,5,"0,001",50,16,CE,Softmax
